Date,Close,High,Low,Open,Volume
6/3/2019,41.67277145,42.78372354,40.94415954,42.22584416,161584400
6/4/2019,43.1973381,43.24302726,41.96615262,42.18738103,123872000
6/5/2019,43.89468765,44.48383263,43.55803652,44.31310006,119093600
6/6/2019,44.53913116,44.59924769,43.80089848,44.02453386,90105200
6/7/2019,45.72463226,46.15025833,44.67139313,44.84933571,122737600
6/10/2019,46.30896759,46.97986648,46.07811849,46.12380764,104883600
6/11/2019,46.8452034,47.13135866,46.55424145,46.85722744,107731600
6/12/2019,46.6961174,47.12414681,46.50374377,46.63840421,73012800
6/13/2019,46.68649292,47.32132329,46.5542395,46.81875001,86698400
6/14/2019,46.34743881,46.5518328,45.76070092,46.06128356,75046000
6/17/2019,46.62397766,46.88127818,46.21037563,46.38591487,58676400
6/18/2019,47.72050095,48.16295773,46.94139306,47.14338372,106204000
6/19/2019,47.58103561,48.06437492,47.44637516,48.01627876,84496800
6/20/2019,47.96337128,48.23990583,47.61950284,48.18219265,86056000
6/21/2019,47.79985046,48.29761705,47.64835565,47.80466081,191202400
6/24/2019,47.75175858,48.13169545,47.65316659,47.74213788,72881600
6/25/2019,47.02796173,47.91527865,46.96062784,47.71569132,84281200
6/26/2019,48.04512787,48.33128312,47.45598665,47.55698198,104270000
6/27/2019,48.03070068,48.47075409,47.98982189,48.1629541,83598800
6/28/2019,47.5930481,47.97298496,47.38384377,47.775801,124442400
7/1/2019,48.46595001,49.17292103,48.24952829,48.85550397,109012000
7/2/2019,48.74968338,48.84587201,48.42024605,48.43227009,67740800
7/3/2019,49.15368652,49.16090021,48.74008445,48.8819586,45448000
7/5/2019,49.11039352,49.31479119,48.79057315,48.89878584,69062000
7/8/2019,48.09803009,48.42987081,47.71087952,48.28799669,101354400
7/9/2019,48.3914032,48.45632641,47.80706862,47.90085026,82312000
7/10/2019,48.86993027,48.99016333,48.46835227,48.53808951,71588400
7/11/2019,48.5140419,49.14887234,48.50442487,48.88916848,80767200
7/12/2019,48.88676071,49.05508625,48.62224652,48.68236305,70380800
7/15/2019,49.34605789,49.50476275,49.05509225,49.07673332,67789600
7/16/2019,49.17531204,49.56246257,48.93484597,49.19695311,67467200
7/17/2019,48.89878464,49.31719332,48.87954691,49.06711018,56430000
7/18/2019,49.45426941,49.50717226,48.98295414,49.05509472,74162400
7/19/2019,48.71602631,49.65624964,48.66072013,49.48551709,83717200
7/22/2019,49.82938385,49.83178719,48.96130111,48.97091814,89111600
7/23/2019,50.21893692,50.23577131,49.84621375,50.1275623,73420800
7/24/2019,50.17806244,50.29348514,49.81736328,49.93759633,59966400
7/25/2019,49.78129578,50.31513084,49.71155855,50.23096623,55638400
7/26/2019,49.95442963,50.43295482,49.8101485,49.89190609,70475600
7/29/2019,50.42092514,50.65177419,50.12274955,50.1275599,86693600
7/30/2019,50.20451355,50.53635795,49.85102808,50.1997032,135742800
7/31/2019,51.22890472,53.23198811,50.81049599,52.04168145,277125600
8/1/2019,50.1203537,52.42883001,49.71396902,51.43570372,216071600
8/2/2019,49.05988693,49.63940735,48.48517319,49.42298936,163448400
8/5/2019,46.49172211,47.76859671,46.30896916,47.60989185,209572000
8/6/2019,47.37182617,47.62912668,46.66004483,47.20590396,143299200
8/7/2019,47.86237717,47.98742058,46.60714734,46.98948761,133457600
8/8/2019,48.91802597,48.94207405,47.94654436,48.14132135,108038000
8/9/2019,48.5149231,48.94216265,48.10457452,48.58975024,98478800
8/12/2019,48.39180374,48.77077166,48.07076828,48.18421704,89927600
8/13/2019,50.44112396,51.20629729,48.39180867,48.52215579,188874000
8/14/2019,48.93973923,49.830431,48.90111759,49.0387058,146189600
8/15/2019,48.69594574,49.51663531,48.19628795,49.11111915,108909600
8/16/2019,49.8449173,50.00422881,49.20284629,49.30905397,110481600
8/19/2019,50.7742424,51.34872382,50.6969991,50.8394123,97654400
8/20/2019,50.77664185,51.49836859,50.76698828,50.90216034,107537200
8/21/2019,51.32698822,51.57078043,51.07595491,51.4114726,86141600
8/22/2019,51.28354645,51.76147735,50.87078543,51.45975264,89014800
8/23/2019,48.91320038,51.18458508,48.51733767,50.55216753,187272000
8/26/2019,49.84251022,50.01147533,49.49733524,49.69043979,104174400
8/27/2019,49.28008652,50.33974338,49.12801611,50.17319078,103493200
8/28/2019,49.61078644,49.65664919,49.07733918,49.26561512,63755200
8/29/2019,50.45078278,50.5256136,49.88354254,50.32768042,83962000
8/30/2019,50.38561249,50.79836982,50.01388559,50.72837131,84573600
9/3/2019,49.65181351,49.96077929,49.29457251,49.82801969,80092000
9/4/2019,50.49422455,50.56422305,50.04284565,50.30112003,76752400
9/5/2019,51.48148346,51.64803611,51.05424018,51.17251761,95654800
9/6/2019,51.47664261,51.75664399,51.2956078,51.66733467,77449200
9/9/2019,51.69630051,52.24423357,50.94802549,51.8580245,109237600
9/10/2019,52.30698776,52.32629858,51.10250524,51.6214702,127111600
9/11/2019,53.9701004,53.99906848,52.55561484,52.63768676,177158400
9/12/2019,53.8494072,54.6532022,53.79389089,54.26216819,128906800
9/13/2019,52.80181503,53.29422805,52.38422914,53.10353969,159053200
9/16/2019,53.07941437,53.13493437,52.51458654,52.55562067,84632400
9/17/2019,53.27251434,53.30148242,52.89113387,53.09389567,73274800
9/18/2019,53.77216721,53.79147803,52.96837221,53.35940622,101360000
9/19/2019,53.33525848,54.01111868,53.19284167,53.58870421,88242400
9/20/2019,52.55561829,53.72148306,52.49286087,53.43665669,221652400
9/23/2019,52.79458618,53.06493036,52.53630805,52.8501025,76662000
9/24/2019,52.54354477,53.70458452,52.42527104,53.35216844,124763200
9/25/2019,53.35216141,53.46561018,52.41319441,52.75354071,87613600
9/26/2019,53.07699966,53.33044917,52.82113769,53.10355159,75334000
9/27/2019,52.81872177,53.33527432,52.44699487,53.23389158,101408000
9/30/2019,54.06182861,54.20907042,53.29423901,53.32079093,103909600
10/1/2019,54.21148682,55.08769664,54.11734884,54.32735177,139223200
10/2/2019,52.85251236,53.96768564,52.60388783,53.84216714,138449200
10/3/2019,53.30147552,53.33526854,51.92802423,52.72457442,114426000
10/4/2019,54.79562378,54.91148873,54.04252003,54.46493465,138478800
10/7/2019,54.80768585,55.50044456,54.51320226,54.61699747,122306000
10/8/2019,54.16562271,55.04907362,54.14872804,54.50838525,111820000
10/9/2019,54.80044556,54.98389284,54.46492784,54.80044556,74770400
10/10/2019,55.53906631,55.6235507,54.86561843,55.01768517,113013600
10/11/2019,57.01631165,57.36148292,56.07492842,56.22941131,166795600
10/14/2019,56.93424225,57.47976286,56.64458728,56.70010359,96427600
10/15/2019,56.80148315,57.36389472,56.69527548,57.05975757,87360000
10/16/2019,56.57216644,56.78216931,56.2897526,56.33078671,73903200
10/17/2019,56.79182053,57.00181971,56.36699354,56.74595779,67585200
10/18/2019,57.06459045,57.34700433,56.55286285,56.62527752,97433600
10/21/2019,58.05424881,58.17011375,57.28425042,57.33252563,87247200
10/22/2019,57.92148972,58.46217803,57.8394178,58.2111447,82293600
10/23/2019,58.69872665,58.71321253,58.2256244,58.43803976,75828800
10/24/2019,58.79528046,59.08976405,58.36803726,59.01976186,69275200
10/25/2019,59.51942825,59.55563375,58.62632378,58.69390982,73477200
10/28/2019,60.1156311,60.16390632,59.55321581,59.72218091,96572800
10/29/2019,58.72527695,60.28459173,58.55148692,60.09631582,142839600
10/30/2019,58.7180481,59.21046494,58.22322246,59.08011779,124522000
